date,price_mean,price_min,price_max,price_std,observations
2019-01-07,19.167937461883408,8.6899996,56.0,4.456142044561859,446
2019-01-08,19.22105772183908,8.6899996,56.0,4.483998398449904,435
2019-01-09,19.22132908108108,8.6899996,55.0,4.445965189190935,444
2019-01-10,19.24600477832957,8.6899996,55.0,4.395217981138183,443
2019-01-11,19.208995700913242,8.6899996,55.0,4.318495870632836,438
2019-01-12,19.248116878923767,8.6899996,55.0,4.406223974624039,446
2020-01-01,19.175504875688073,8.6899996,55.0,4.316887363663881,436
2020-01-02,19.211697955348836,8.6899996,55.0,4.768617181892428,430
2020-01-03,19.251564999511004,8.6899996,55.0,4.749132024026762,409
2020-01-07,19.72715137616279,9.1000004,52.0,5.1801475515297275,172
2020-01-08,19.678792644528304,8.4799995,52.0,5.228475572932204,265
2020-01-09,19.60817611824104,9.1000004,52.0,5.123547715649028,307
2020-01-10,19.133837048640483,5.1900001,55.0,5.671339565865565,331
2020-01-12,20.5623564052356,9.1000004,55.0,5.39214692249502,191
2021-01-05,21.539166947916666,10.0,55.0,6.083430736541561,96
2021-01-06,20.33271101445783,9.1000004,60.0,5.52847678715179,166
2021-01-07,20.271575914242423,9.1000004,60.0,5.386999818548661,330
2021-01-08,19.960489276358693,9.1000004,60.0,5.135653325096016,368
2021-01-09,20.007934944836958,9.1000004,60.0,5.207960498009985,368
2021-01-10,19.978518716402117,9.4899998,60.0,5.179681539504598,378
2021-01-11,20.09786862473684,6.9899998,60.0,5.398213484083831,380
2021-01-12,20.259719603571426,6.9899998,55.0,5.243195354618334,392
2022-01-01,20.284748194164457,6.9899998,65.0,5.296225368953322,377
2022-01-02,20.10516062352941,6.9899998,55.0,5.045186725930369,374
2022-01-03,20.260000194387754,7.9899998,55.0,5.230978186467087,392
2022-01-04,20.514573068341708,7.9899998,60.0,5.373037181196494,398
2022-01-05,20.6659514297561,7.9899998,65.0,5.463940833600054,410
2022-01-06,20.761000239999998,7.9899998,75.0,5.654760416156524,400
2022-01-07,20.877041804400978,7.9899998,75.0,5.6862313514996865,409
2022-01-08,20.93282577886978,8.3900003,75.0,5.720800821054131,407
2022-01-09,21.21593693430657,8.3900003,75.0,5.684000321391123,411
2022-01-10,21.28932386231884,8.3900003,75.0,5.676090741837755,414
2022-01-11,21.38027382039801,8.79,75.0,5.997983284586777,402
2022-01-12,21.542192431034483,8.79,75.0,5.958852505082552,406
2023-01-01,21.57589581840796,8.79,75.0,5.809093643222919,402
2023-01-02,21.814046679381445,9.4499998,67.0,5.200738847353502,388
2023-01-03,21.962437478894472,9.4499998,67.0,5.33208598470483,398
2023-01-04,22.086064622772277,9.4499998,67.0,5.248154317482829,404
2023-01-05,22.23586823422983,9.4499998,67.0,5.344279544099824,409
2023-01-06,22.53830531670702,9.4499998,67.0,5.342649435807339,413
2023-01-07,22.52048684428224,10.09,47.5,4.881452337544835,411
2023-01-08,22.75716368269231,10.44,67.0,5.42014361263225,416
2023-01-09,22.874147139810425,10.44,67.0,5.47276952846851,422
2023-01-10,23.06505957719715,10.44,67.0,5.428683305577139,421
2023-01-11,23.1333808108747,10.44,67.0,5.398649843423415,423
2023-01-12,23.349269061320758,10.44,67.0,5.575519345689563,424
2024-01-01,23.375643057142856,10.44,67.0,5.578742728551119,420
2024-01-02,23.34648930992736,10.85,67.0,5.563436977521994,413
2024-01-03,23.455094551886795,10.85,67.0,5.512174476283979,424
2024-01-04,23.526349041860467,10.85,48.0,5.140951334162426,430
2024-01-05,23.592219915331807,10.85,48.0,5.19113359130139,437
2024-01-06,23.7936554045977,10.85,67.0,5.532531765424607,435
2024-01-09,23.816311150812062,7.75,67.0,5.614361670436573,431
